2; rompere(uova)
3; aggiungere(latte)
4; aggiungere({pizzico}, sale)
5; mettere(padella, fuoco)
6; sbattere(uova)
7; mettere(olio, padella)
8; mettere(uova {sbattute}, padella)
9; rigirare(contenuto, padella)
10; togliere(padella, fuoco)
11; mettere({15 g}, lievito {di birra, fresco}, ciotola)
12; aggiungere(acqua {tiepida}, ciotola)
13; sbattere(contenuto, ciotola)
14; mettere(farina, ciotola)
15; aggiungere(zucchero)
16; aggiungere(sale)
17; mettere(acqua); mescolare
18; sbattere(contenuto, ciotola)
19; aggiungere(*lievito* {preparato}, ciotola)
20; sbattere
21; coprire(ciotola)
23; pulire(fiori di zucca)
24; prendere(tuorlo); mettere(*tuorlo*, ciotola)
25; aggiungere({100 g}, farina)
26; aggiungere({200 g}, acqua {ghiacciata})
27; mescolare
28; scoprire(impasto)
29; aggiungere(fiori di zucca)
30; scaldare(olio)
31; mettere(fiori di zucca, olio)
32; prendere(fiori di zucca, olio)
33; aggiungere(sale)
34; mettere(fiori di zucca, tempura)
35; passare(*fiori di zucca*, olio)
36; togliere(fiori di zucca, olio)
37; aggiungere(sale)
38; mettere({200 g}, panna, pentola)
39; pelare(patate)
40; pressare(patate)
41; mettere(*patate*, padella)
42; togliere(patate, pentola); mettere(*patate*, ciotola)
43; aggiungere(sale)
44; impastare(patate)
45; versare(contenuto, pentola)
46; aggiungere(impasto)
47; aggiungere(crème fraîche)
48; grattare(noce moscata)
49; mettere(impasto, contenitori)
50; aggiungere(olio, contenitori)


