1; prendere(due, uova)
2; aprire(uova)
3; aggiungere(30 g, latte, uova)
4; *aggiungere*(pizzico, sale, *[ingredienti]*)
6; mescolare(tutto)
7; aggiungere(po', olio, padella)
8; aggiungere(composto, padella)
9; girare(composto, padella)
---
11; prendere(15 g, lievito)
12; [*prendere*(acqua), aggiungere(acqua, *lievito*)]
13; mescolare(*[ingredienti]*)
14; aggiungere(150 g, farina, *[ingredienti]*)
15; *aggiungere*(po', zucchero, *[ingredienti]*)
16; *aggiungere*(pizzico, sale, *[ingredienti]*)
17; aggiungere(un altro poco, acqua, *[ingredienti]*)
18; mescolare(*[ingredienti]*)
19; aggiungere(lievito, *[ingredienti]*)
20; mescolare(*[ingredienti]*)
21; coprire(*[ingredienti]*, pellicola)
22; prendere(15, fiori di zucca)
23; separare(picciolo, *fiori di zucca*)
24; [prendere(tuorlo), separare(bianco, uovo)]
25; aggiungere(100 g, farina, *tuorlo*)
26; [aggiungere(200 g, acqua), mescolare(*[ingredienti]*)]
28; aggiungere(fiori di zucca, pastella)
29; [aggiungere(qualche goccia, pastella, olio), controllare(temperatura, *olio*)]
30; [prendere(fiori di zucca, pastella), aggiungere(fiori di zucca, olio)]
31; aggiungere(fiori di zucca, carta)
32; *aggiungere*(pizzico, sale, *fiori di zucca*)
33; aggiungere(fiori di zucca, tempura)
34; aggiungere(fiori di zucca, *olio*)
35; separare(fiori di zucca, olio)
36; aggiungere(pizzico, sale, *fiori di zucca*)
---
37; prendere(200 g, panna)
38; [mettere(panna, pentola), mettere(*pentola*, fuoco), cuocere(*panna*, a fuoco basso, 10 minuti)]
39; sbucciare(patate)
40; aggiungere(patate, schiacciapatate)
41; [aggiungere(patate, padella), mettere(*padella, fuoco basso)]
42; [aggiungere(patate, passino), passare(patate, passino)]
43; aggiungere(po', sale, *patate*)
44; impastare(patate, ciotola)
45; aggiungere(panna, *recipiente*)
46; [aggiungere(impasto, panna), mescolare(*[ingredienti]*)]
47; aggiungere(po', crème fraiche, *[ingredienti]*)
48; grattare(po', noce moscata, impasto)
49; aggiungere(composto, ciotoline)
50; aggiungere(po', olio, *ciotoline*)
