1; prendere({due}, uova)
2; rompere(uova)
3; prendere(latte)
4; mettere({pizzico}, sale)
6; sbattere(uova)
7; mettere(olio, padella)
8; versare(uova, padella)
9; girare(frittata)
10; togliere(padella, fornello)
11; prendere(lievito)
12; aggiungere(acqua)
13; girare
14; mettere(farina)
15; aggiungere(zucchero)
16; *aggiungere*({pizzico}, sale)
17; aggiungere({altra} acqua)
18; girare
19; aggiungere(lievito)
20; girare
21; ricoprire(tutto, pellicola trasparente)
22; prendere(fiori di zucca)
23; rimuovere(pistillo)
24; aprire({un}, uovo); separare(tuorlo, albume)
25; aggiungere(farina, tuorlo)
26; *aggiungere*({200 g}, acqua {fredda})
27; mescolare(composto)
28; impastellare(fiori di zucca)
29; controllare(olio {caldo})
30; mettere(fiore di zucca {impastellato}, olio {padella})
31; scolare(fiore di zucca)
32; mettere({po'}, sale)
33; mettere(fiori di zucca, tempura)
34; friggere(fiori di zucca)
35; togliere(fiori di zucca)
36; mettere({po'}, sale)
37; prendere({200g}, panna)
39; sbucciare({mezzo chilo}, patate {bollite})
40; schiacciare(patate)
41; mettere(patate {schiacciate}, padella)
42; mettere(patate, setaccio)
43; aggiungere(sale); *aggiungere*(pepe)
44; impastare
45; versare(panna, padella)
46; aggiungere(patate)
47; aggiungere({due cucchiai}, crema)
48; aggiungere({spruzzatina}, noce moscata)
49; mettere(purè, ciotole)
50; aggiungere({filo}, olio)

