2; aprire(due, uova)
3; aggiungere(latte, *uova*)
4; aggiungere(sale, *[ingredienti]*)
6; mescolare(uova)
7; aggiungere(olio, padella)
8; aggiungere(uova, *padella*)
9; girare(frittata)
10; togliere(padella, fuoco)
---
11; aggiungere(lievito, ciotola)
12; aggiungere(acqua, *lievito*)
13; mescolare(*[ingredienti]*)
14; aggiungere(farina, *[ingredienti]*)
15; aggiungere(zucchero, *[ingredienti]*)
16; aggiungere(sale, *[ingredienti]*)
17; [aggiungere(acqua, *[ingredienti]*), mescolare(*[ingredienti]*)]
18; mescolare(*[ingredienti]*)
19; aggiungere(lievito, *[ingredienti]*)
20; mescolare(*[ingredienti]*)
21; coprire(ciotola, pellicola)
23; separare(pistilli, *fiori di zucca*)
25; aggiungere(farina)
26; aggiungere(acqua, *farina*)
27; scoprire(ciotola)
28; aggiungere(fiori, pastella)
29; controllare(olio)
30; aggiungere(fiori, *olio*)
31; separare(fiori, olio)
32; aggiungere(sale, fiori)
33; aggiungere(fiori, impasto)
34; aggiungere(fiori, olio)
35; separare(fiori, olio)
36; aggiungere(sale, *fiori*)
---
37; aggiungere(panna, pentola)
38; cuocere(*panna*, fuoco basso)
39; sbucciare(patate)
40; schiacciare(patate)
41; aggiungere(patate, padella)
42; passare(patate)
43; aggiungere(sale, *patate*)
44; impastare(*[ingredienti]*)
45; aggiungere(panna, pentola)
46; aggiungere(patate, *pentola*)
47; aggiungere(crème fraiche, *pentola*)
48; aggiungere(noce moscata, *pentola*)
49; mettere(patate, contenitore)
50; aggiungere(olio, *contenitore*)

