2; aprire(uova)
3; aggiungere(latte)
4; aggiungere(sale)
5; mettere(padella, fuoco)
6; sbattere(uova)
7; aggiungere({filo}, olio, padella)
8; versare(composto, padella)
9; girare(frittata)
10; levare(padella, fuoco)
11; mettere(lievito, ciotola)
12; aggiungere(acqua {tiepida})
13; girare(frusta)
14; aggiungere(farina)
15; aggiungere(zucchero)
16; aggiungere(sale)
17; mescolare; versare(acqua)
18; girare()
19; aggiungere(lievito, composto)
20; mescolare
21; chiudere(ciotola, pellicola)
22; prendere(fiori di zucca)
23; levare(pistillo, fiori di zucca)
24; prendere({un}, tuorlo {d'uovo})
25; aggiungere(farina)
26; aggiungere(acqua {ghiacciata})
27; togliere(pellicola)
28; mescolare(fiori di zucca, pastella)
29; verificare(olio {caldo})
30; friggere(fiori di zucca)
31; scolare(fiori di zucca)
32; cospargere(sale)
33; porre(fiori di zucca, tempura)
34; friggere() 
35; scolare()
36; aggiungere(sale)
37; aggiungere(panna)
38; accendere(fiamma {a fuoco basso})
39; sbucciare(patate)
40; schiacciare(patate)
41; mettere(patate,padella)
42; filtrare(patate, colino)
43; salare()
44; impastare()
45; versare(panna, {altra} padella)
46; aggiungere(patate, panna)
47; aggiungere(crème fraiche)
48; grattare(noce moscata)
49; prendere(padella); mettere(*puré*, recipienti)
50; aggiungere({po'}, olio)
