2; aprire(2, uova, ciotola)
3; aggiungere(30 g, latte, ciotola)
4; aggiungere(pizzico, sale, *ciotola*)
5; mettere(padella, fuoco)
6; mescolare(uova, ciotola)
7; aggiungere(olio, padella)
8; aggiungere(contenuto, padella)
9; girare(frittata)
10; togliere(pentola, fuoco)
---
11; prendere(15 g, lievito)
12; aggiungere(acqua, *lievito*)
13; mescolare(tutto)
14; aggiungere(150 g, farina, ciotola)
15; aggiungere(zucchero, *ciotola*)
16; aggiungere(sale, *ciotola*)
17; [mescolare(tutto), aggiungere(acqua, *tutto*)]
18; mescolare(preparato)
19; aggiungere(lievito, *preparato*)
20; mescolare(tutto)
21; coprire(ciotola, pellicola)
23; separare(*parte*, fiori di zucca)
24; prendere(1, tuorlo)
25; aggiungere(100 g, farina, ciotola)
26; [aggiungere(200 g, acqua, *farina*), mescolare(*[ingredienti]*)]
27; scoprire(ciotola)
28; aggiungere(fiori di zucca, ciotola)
29; controllare(temperatura, olio)
30; aggiungere(fiori di zucca, olio)
31; separare(fiori di zucca, pentola)
32; aggiungere(un po', sale, fiori di zucca)
33; [prendere(fiori di zucca), aggiungere(fiori di zucca, tempura)]
34; aggiungere(fiori di zucca, olio)
35; separare(fiori di zucca, pentola)
36; aggiungere(sale, *fiori di zucca*)
---
37; aggiungere(200 g, panna, pentola)
38; mettere(pentola, fuoco basso, 10 minuti)
39; sbucciare(patate)
40; schiacciare(patate)
41; cuocere(patate, padella, fuoco basso)
42; [aggiungere(patate, colino), passare(patate, *colino*)]
43; aggiungere(sale, *patate*)
44; mescolare(tutto)
45; aggiungere(contenuto, padella)
46; [aggiungere(patate, padella), mescolare(*[ingredienti]*, *padella*)]
47; aggiungere(crème fraîche, *padella*)
48; grattare(noce moscata, *padella*)
49; aggiungere(contenuto, terrine)
50; aggiungere(olio, *terrine*)

