2; rompere({due}, uova, ciotola)
3; versare({30 g}, latte {intero})
4; aggiungere({pizzico}, sale)
5; preparare(padella); accendere(fuoco)
6; montare(uova)
7; versare({po'}, olio, padella)
8; aggiungere(uova {sbattute})
9; piegare(frittata {portafoglio})
11; versare({15 g}, lievito {di birra, fresco}, ciotola)
12; versare(acqua {minerale, tiepida}, ciotola)
13; mescolare(frusta); sciogliere(lievito)
14; aggiungere({150 g}, farina)
15; *aggiungere*({pizzico}, zucchero)
16; aggiungere({pizzico}, sale)
17; mescolare(preparato); aggiungere(acqua)
18; mescolare
19; versare(lievito {sciolto}, impasto)
20; mescolare(frusta)
21; coprire(ciotola, pellicola)
23; estrarre(cuore)
24; dividire(albume, tuorlo)
25; aggiungere({100 g}, farina, tuorlo)
26; *aggiungere*({200 g}, acqua {ghiacciata})
27; prendere(impasto); togliere(pellicola)
28; immergere(fiori di zucca, pastella)
29; controllare(olio {bollente})
30; friggere(fiori di zucca)
32; aggiungere({pizzico}, sale)
33; immergere(fiori di zucca, pastella)
34; immergere(fiori, olio {bollente})
35; cacciare(fiori di zucca, pentola)
36; aggiungere({pizzico}, sale)
37; versare({200 g}, panna, pentolino)
38; cuocere({fuoco basso, 10 minuti})
39; pelare({550 g}, patate)
40; passare(*patate*, schiacciapatate)
41; cuocere(patate, padella {fuoco basso, 10 minuti})
42; schiacciare(patate, colino); rendere(*patate* {cremose})
43; aggiungere(sale)
44; lavorare(impasto)
45; versare(panna, teglia)
46; versare(impasto, teglia); mescolare
47; aggiungere(crème fraiche)
48; *aggiungere*(noce moscata)
49; aggiungere(impasto, formini)
50; aggiungere(olio {extravergine})
